,Location,Treatment,Water Depth,Native Algae Mass,Invasive Algae Mass
1,Sunset,caged,shallow,18.8,44.62
2,Sunset,caged,shallow,20.3,44.22
3,Sunset,caged,shallow,20.8,44.64
4,Sunset,caged,shallow,20,43.12
5,Sunset,caged,shallow,21.2,44.07
6,Sunset,caged,shallow,20.4,44.61
7,Sunset,caged,shallow,20.8,44.35
8,Sunset,caged,shallow,20.2,46.56
9,Sunset,caged,deep,19.4,43.62
10,Sunset,caged,deep,21.7,45.3
11,Sunset,caged,deep,19.5,44.26
12,Sunset,caged,deep,18.8,44.34
13,Sunset,caged,deep,19.6,44.28
14,Sunset,caged,deep,19.9,45.53
15,Sunset,caged,deep,19.8,45.42
16,Sunset,caged,deep,20.4,44.06
17,Sunset,non-caged,shallow,20.5,47.96
18,Sunset,non-caged,shallow,18.5,50.49
19,Sunset,non-caged,shallow,20,51.93
20,Sunset,non-caged,shallow,19.5,50.78
21,Sunset,non-caged,shallow,19.7,49.34
22,Sunset,non-caged,shallow,18.7,49.77
23,Sunset,non-caged,shallow,20.1,49.6
24,Sunset,non-caged,shallow,18.8,48.52
25,Sunset,non-caged,deep,19.4,51.86
26,Sunset,non-caged,deep,19.1,51.73
27,Sunset,non-caged,deep,20.2,53.72
28,Sunset,non-caged,deep,21.2,52.41
29,Sunset,non-caged,deep,21.2,50.66
30,Sunset,non-caged,deep,18.8,51.33
31,Sunset,non-caged,deep,19.9,53.53
32,Sunset,non-caged,deep,20.3,53.08
33,Bowls,caged,shallow,21,25.2
34,Bowls,caged,shallow,21.1,25.14
35,Bowls,caged,shallow,21.3,23.13
36,Bowls,caged,shallow,19.8,26.38
37,Bowls,caged,shallow,21.1,26.01
38,Bowls,caged,shallow,19.9,25.15
39,Bowls,caged,shallow,18.5,24.96
40,Bowls,caged,shallow,20.2,26.03
41,Bowls,caged,deep,19.8,26.42
42,Bowls,caged,deep,19.9,24.59
43,Bowls,caged,deep,22,25.73
44,Bowls,caged,deep,18.4,25.33
45,Bowls,caged,deep,20,25.55
46,Bowls,caged,deep,19,22.31
47,Bowls,caged,deep,18.9,25.86
48,Bowls,caged,deep,21.8,24.99
49,Bowls,non-caged,shallow,18.7,30.52
50,Bowls,non-caged,shallow,18.6,29.98
51,Bowls,non-caged,shallow,20.4,30.8
52,Bowls,non-caged,shallow,18.8,29.89
53,Bowls,non-caged,shallow,20.7,29.71
54,Bowls,non-caged,shallow,18.3,28.89
55,Bowls,non-caged,shallow,19.3,28.43
56,Bowls,non-caged,shallow,19.3,30
57,Bowls,non-caged,deep,19.4,30.96
58,Bowls,non-caged,deep,22.2,32.02
59,Bowls,non-caged,deep,21.6,31.88
60,Bowls,non-caged,deep,19.6,31.12
61,Bowls,non-caged,deep,20.6,32.34
62,Bowls,non-caged,deep,21.7,31.74
63,Bowls,non-caged,deep,19.6,32.78
64,Bowls,non-caged,deep,20.7,31.89
65,Queens,caged,shallow,20.6,46.27
66,Queens,caged,shallow,21.1,43.17
67,Queens,caged,shallow,19.5,44.84
68,Queens,caged,shallow,20.7,45.84
69,Queens,caged,shallow,19.5,43.39
70,Queens,caged,shallow,20.5,44.8
71,Queens,caged,shallow,19.3,45.69
72,Queens,caged,shallow,20.2,45.55
73,Queens,caged,deep,21.1,45.59
74,Queens,caged,deep,19.2,46.21
75,Queens,caged,deep,19.8,45.61
76,Queens,caged,deep,20.5,45.75
77,Queens,caged,deep,20.4,46.57
78,Queens,caged,deep,19.8,45.86
79,Queens,caged,deep,19.5,43.94
80,Queens,caged,deep,19.7,45.07
81,Queens,non-caged,shallow,21.2,51.56
82,Queens,non-caged,shallow,20.5,48.96
83,Queens,non-caged,shallow,20.7,50.38
84,Queens,non-caged,shallow,21.7,50.23
85,Queens,non-caged,shallow,21.3,50.03
86,Queens,non-caged,shallow,20.4,49.6
87,Queens,non-caged,shallow,20,50.36
88,Queens,non-caged,shallow,19.6,49.01
89,Queens,non-caged,deep,20.6,52.07
90,Queens,non-caged,deep,20.8,49.78
91,Queens,non-caged,deep,19,51.63
92,Queens,non-caged,deep,20,50.39
93,Queens,non-caged,deep,19.6,51.39
94,Queens,non-caged,deep,20.4,53.31
95,Queens,non-caged,deep,20.8,50.57
96,Queens,non-caged,deep,20.3,51.62
97,Kaena,caged,shallow,18.5,25.72
98,Kaena,caged,shallow,20.1,25.76
99,Kaena,caged,shallow,20.7,25.77
100,Kaena,caged,shallow,18.6,26.11
101,Kaena,caged,shallow,21.5,24.45
102,Kaena,caged,shallow,20.1,24.22
103,Kaena,caged,shallow,20.6,26.14
104,Kaena,caged,shallow,20.2,25.77
105,Kaena,caged,deep,21,25.62
106,Kaena,caged,deep,19.9,26.07
107,Kaena,caged,deep,19.9,25.48
108,Kaena,caged,deep,18.5,23.43
109,Kaena,caged,deep,19.5,24.39
110,Kaena,caged,deep,21.1,24.7
111,Kaena,caged,deep,19.9,24.39
112,Kaena,caged,deep,19.7,24.85
113,Kaena,non-caged,shallow,19.4,29.89
114,Kaena,non-caged,shallow,22.1,30.55
115,Kaena,non-caged,shallow,19,29.83
116,Kaena,non-caged,shallow,20,29.3
117,Kaena,non-caged,shallow,20.2,29.83
118,Kaena,non-caged,shallow,20.3,30.05
119,Kaena,non-caged,shallow,20.7,29.61
120,Kaena,non-caged,shallow,19.4,30.48
121,Kaena,non-caged,deep,18.8,30.8
122,Kaena,non-caged,deep,20.2,32.41
123,Kaena,non-caged,deep,19.1,33.74
124,Kaena,non-caged,deep,19.9,31.33
125,Kaena,non-caged,deep,21.5,31.58
126,Kaena,non-caged,deep,18.7,32.09
127,Kaena,non-caged,deep,21.3,31.33
128,Kaena,non-caged,deep,19.6,31.34
129,DiamondHead,caged,shallow,19.4,22.79
130,DiamondHead,caged,shallow,20.4,26.44
131,DiamondHead,caged,shallow,21,25.15
132,DiamondHead,caged,shallow,19.8,25.46
133,DiamondHead,caged,shallow,20.8,26.61
134,DiamondHead,caged,shallow,18.9,23.46
135,DiamondHead,caged,shallow,20.9,24.33
136,DiamondHead,caged,shallow,18.2,22.88
137,DiamondHead,caged,deep,20.9,26.46
138,DiamondHead,caged,deep,20,23.55
139,DiamondHead,caged,deep,18.8,24.13
140,DiamondHead,caged,deep,19.8,23.81
141,DiamondHead,caged,deep,18.3,24.81
142,DiamondHead,caged,deep,18.9,22.95
143,DiamondHead,caged,deep,18.7,24.68
144,DiamondHead,caged,deep,19.7,25.1
145,DiamondHead,non-caged,shallow,19.9,31.54
146,DiamondHead,non-caged,shallow,22.4,28.25
147,DiamondHead,non-caged,shallow,18.3,29.72
148,DiamondHead,non-caged,shallow,19.6,29.37
149,DiamondHead,non-caged,shallow,21.6,31.5
150,DiamondHead,non-caged,shallow,19.8,30.85
151,DiamondHead,non-caged,shallow,19.1,28.8
152,DiamondHead,non-caged,shallow,22.5,31.73
153,DiamondHead,non-caged,deep,20.8,31.94
154,DiamondHead,non-caged,deep,19.4,34.01
155,DiamondHead,non-caged,deep,20.3,33.41
156,DiamondHead,non-caged,deep,20.1,32.28
157,DiamondHead,non-caged,deep,20,32.09
158,DiamondHead,non-caged,deep,18.9,31.5
159,DiamondHead,non-caged,deep,19.3,30.64
160,DiamondHead,non-caged,deep,22,33.97
